dates,sub_id,status,months_since_first_subscription,active_months,canceled_months,months_since_status_change,confirmed_bookings
2020-01-01,1,canceled,,0,1,,34
2020-02-01,1,canceled,,0,2,,32
2020-03-01,1,canceled,,0,3,,5
2020-04-01,1,canceled,,0,4,,1
2020-05-01,1,canceled,,0,5,,5
2020-06-01,1,canceled,,0,6,,4
2020-07-01,1,canceled,,0,7,,2
2020-08-01,1,canceled,,0,8,,2
2020-09-01,1,canceled,,0,9,,2
2020-10-01,1,canceled,,0,10,,1
2020-11-01,1,canceled,,0,11,,0
2020-12-01,1,canceled,,0,12,,0
2021-01-01,1,canceled,,0,13,,1
2021-02-01,1,canceled,,0,14,,0
2021-03-01,1,canceled,,0,15,,1
2021-04-01,1,canceled,,0,16,,0
2021-05-01,1,canceled,,0,17,,4
2021-06-01,1,active,0,1,17,1,5
2021-07-01,1,active,1,2,17,2,0
2021-08-01,1,canceled,2,2,18,1,0
2021-09-01,1,active,3,3,18,1,0
2021-10-01,1,active,4,4,18,2,0
2021-11-01,1,active,5,5,18,3,0
2020-01-01,2,active,0,1,0,,44
2020-02-01,2,active,1,2,0,,17
2020-03-01,2,active,2,3,0,,10
2020-04-01,2,active,3,4,0,,2
2020-05-01,2,active,4,5,0,,5
2020-06-01,2,active,5,6,0,,2
2020-07-01,2,active,6,7,0,,2
2020-08-01,2,canceled,7,7,1,1,2
2020-09-01,2,active,8,8,1,1,0
2020-10-01,2,active,9,9,1,2,2
2020-11-01,2,active,10,10,1,3,0
2020-12-01,2,active,11,11,1,4,0
2021-01-01,2,active,12,12,1,5,0
2021-02-01,2,canceled,13,12,2,1,2
2021-03-01,2,canceled,14,12,3,2,2
2021-04-01,2,active,15,13,3,1,1
2021-05-01,2,active,16,14,3,2,3
2021-06-01,2,canceled,17,14,4,1,7
2021-07-01,2,canceled,18,14,5,2,0
2021-08-01,2,canceled,19,14,6,3,0
2021-09-01,2,canceled,20,14,7,4,0
2021-10-01,2,active,21,15,7,1,0
2021-11-01,2,active,22,16,7,2,0
2021-12-01,2,active,23,17,7,3,0
2020-02-01,3,canceled,,0,1,,31
2020-03-01,3,canceled,,0,2,,6
2020-04-01,3,canceled,,0,3,,1
2020-05-01,3,canceled,,0,4,,6
2020-06-01,3,canceled,,0,5,,4
2020-07-01,3,canceled,,0,6,,2
2020-08-01,3,canceled,,0,7,,1
2020-09-01,3,canceled,,0,8,,1
2020-10-01,3,canceled,,0,9,,2
2020-11-01,3,active,0,1,9,1,0
2020-12-01,3,active,1,2,9,2,0
2021-01-01,3,canceled,2,2,10,1,1
2021-02-01,3,active,3,3,10,1,0
2021-03-01,3,active,4,4,10,2,2
2021-04-01,3,active,5,5,10,3,0
2021-05-01,3,canceled,6,5,11,1,3
2021-06-01,3,canceled,7,5,12,2,8
2021-07-01,3,canceled,8,5,13,3,0
2021-08-01,3,canceled,9,5,14,4,0
2021-09-01,3,canceled,10,5,15,5,0
2020-04-01,4,active,0,1,0,,2
2020-05-01,4,active,1,2,0,,2
2020-06-01,4,canceled,2,2,1,1,4
2020-07-01,4,canceled,3,2,2,2,4
2020-08-01,4,canceled,4,2,3,3,2
2020-09-01,4,canceled,5,2,4,4,1
2020-10-01,4,canceled,6,2,5,5,3
2020-11-01,4,canceled,7,2,6,6,2
2020-12-01,4,active,8,3,6,1,2
2021-01-01,4,active,9,4,6,2,0
2021-02-01,4,canceled,10,4,7,1,0
