,sub_id,status,dates
0,410,active,2021-10
1,194,canceled,2021-01
2,606,canceled,2020-03
3,734,active,2021-09
4,457,active,2021-02
5,407,active,2021-01
6,612,active,2021-01
7,906,active,2020-03
8,582,active,2020-09
9,81,active,2021-10
11,706,canceled,2020-12
13,509,active,2020-11
14,488,canceled,2020-12
15,673,canceled,2020-05
16,458,canceled,2021-02
17,329,canceled,2020-10
18,969,canceled,2020-07
19,676,active,2020-12
20,752,canceled,2021-05
21,571,active,2021-07
22,1016,canceled,2021-09
23,1053,canceled,2021-08
24,614,active,2021-12
25,336,canceled,2020-12
26,869,canceled,2021-06
27,849,canceled,2020-12
28,404,active,2021-11
30,76,active,2021-07
31,220,canceled,2020-08
32,723,canceled,2020-10
33,307,canceled,2020-05
34,705,active,2021-04
35,217,active,2021-02
36,504,active,2021-06
37,753,canceled,2020-06
38,114,active,2020-01
39,216,canceled,2021-06
40,656,active,2021-04
41,436,active,2021-05
42,427,active,2021-12
43,1028,active,2021-03
44,932,canceled,2021-12
45,1056,active,2021-04
46,208,active,2021-03
48,284,canceled,2020-10
49,512,canceled,2021-04
50,646,active,2021-12
52,403,active,2021-04
53,246,canceled,2021-08
54,330,canceled,2021-12
55,595,canceled,2020-05
56,19,active,2021-05
57,1007,active,2020-05
58,473,active,2020-09
59,929,canceled,2021-12
60,845,canceled,2020-04
62,426,active,2021-01
63,736,active,2021-09
64,509,active,2021-05
65,232,active,2021-11
66,293,canceled,2021-10
67,181,canceled,2021-09
69,749,canceled,2021-11
71,228,active,2020-02
72,224,canceled,2021-05
74,742,active,2021-05
75,185,canceled,2020-10
76,298,canceled,2020-10
77,947,canceled,2020-07
78,182,active,2020-06
79,267,active,2020-09
80,234,canceled,2021-04
81,289,canceled,2021-07
82,80,canceled,2021-09
83,233,canceled,2021-03
84,1095,active,2020-09
85,858,active,2021-06
86,786,active,2021-07
88,837,canceled,2020-09
89,221,canceled,2021-01
90,881,canceled,2020-07
91,174,canceled,2021-12
92,848,active,2021-12
93,77,canceled,2021-03
94,871,active,2021-02
95,817,canceled,2021-07
96,314,canceled,2020-08
97,511,canceled,2021-02
99,142,canceled,2020-12
100,405,canceled,2021-08
103,1041,active,2020-08
104,1098,canceled,2020-05
105,923,canceled,2020-07
108,805,canceled,2021-03
109,127,active,2020-01
110,8,canceled,2021-03
111,401,active,2021-03
112,188,canceled,2020-09
113,1053,active,2020-04
114,289,canceled,2020-08
115,1084,canceled,2020-05
116,423,canceled,2020-10
118,881,active,2020-04
121,562,active,2021-11
122,634,canceled,2020-04
123,387,active,2021-06
124,516,canceled,2020-05
126,120,canceled,2021-08
